"city","state","total_orders","total_sales"
"araucária","PR","800","59730.67000000014"
"terra rica","PR","647","59726.64000000004"
"santana do araguaia","PA","200","59540.00000000003"
"santa vitória do palmar","RS","510","59525.50000000009"
"bananal","SP","664","59481.95000000041"
"jaiba","MG","522","59463.63000000026"
"joao neiva","ES","738","59444.2600000002"
"pesqueira","PE","801","59433.31000000018"
"taguai","SP","924","59416.56000000021"
"martinópolis","SP","160","59329.44000000002"
"silvania","GO","343","59230.71000000008"
"altos","PI","220","59197.160000000025"
"julio de castilhos","RS","750","59065.500000000175"
"colniza","MT","246","58955.539999999986"
"prado","BA","270","58902.66000000006"
"vitorino freire","MA","111","58756"
"pinhalao","PR","217","58743.14000000007"
"nepomuceno","MG","960","58650.240000000005"
"três rios","RJ","255","58626.61000000009"
"campo maior","PI","472","58625.9400000001"
"abreu e lima","PE","325","58615.02000000001"
"cananeia","SP","640","58212.80000000018"
"ecoporanga","ES","530","58065.460000000094"
"macau","RN","290","57935.04000000008"
"são pedro da aldeia","RJ","583","57911.02000000002"
"santo estevao","BA","354","57808.790000000154"
"brasilia de minas","MG","860","57769.64000000013"
"redencao","PA","512","57710.02000000002"
"crato","CE","367","57434.97000000006"
"itaguaí","RJ","403","57396.130000000085"
"riacho de santana","BA","240","57345.600000000064"
"santa branca","SP","675","57282.000000000146"
"breves","PA","94","57246"
"guaçuí","ES","270","56959.35000000009"
"capao do leao","RS","265","56829.25000000003"
"pacajus","CE","315","56816.55000000012"
"quixeramobim","CE","396","56746.140000000094"
"viamão","RS","676","56697.960000000196"
"santa maria de jetibá","ES","600","56669.10000000012"
"buenopolis","MG","234","56564.82000000002"
"pariquera-açu","SP","512","56483.19999999998"
"cachoeira do campo","MG","136","56371.32000000001"
"coruripe","AL","138","56225.80000000005"
"catolé do rocha","PB","105","56138.850000000035"
"cajobi","SP","495","56013.6500000002"
"acarau","CE","369","55963.36000000018"
"simonesia","MG","344","55722.840000000004"
"medina","MG","672","55602.24000000018"
"tabira","PE","280","55265.280000000086"
"aripuana","MT","392","55114.21999999999"
"macaubas","BA","882","55022.30999999968"
"campos gerais","MG","505","54950.060000000034"
"parobé","RS","372","54264.88000000002"
"cícero dantas","BA","414","54180.90000000008"
"piquete","SP","630","53976.30000000005"
"jequié","BA","435","53916.52000000013"
"paranaita","MT","174","53903.75000000007"
"cardoso","SP","342","53854.170000000035"
"pirajuí","SP","544","53839.68000000011"
"guarei","SP","245","53816.21000000001"
"perdoes","MG","890","53745.31999999995"
"quissamã","RJ","285","53725.54000000004"
"presidente getulio","SC","492","53642.76000000001"
"xinguara","PA","607","53603.140000000014"
"itambacuri","MG","712","53557.53000000004"
"cândido mota","SP","578","53491.86000000015"
"aguas da prata","SP","624","53470.559999999976"
"tocantinopolis","TO","584","53410.45000000013"
"igarapé","MG","364","53319.28000000012"
"içara","SC","644","53298.820000000036"
"buzios","RJ","330","53200.40000000001"
"sao joao","PR","732","53197.48999999995"
"candeias","BA","536","53163.80000000017"
"santo antonio do pinhal","SP","94","53058.30000000001"
"ubirata","PR","637","52978.380000000194"
"papanduva","SC","790","52883.390000000145"
"ibaté","SP","448","52882.88000000001"
"joanopolis","SP","384","52774.400000000016"
"itaguacu","ES","240","52740.90000000007"
"ivaipora","PR","714","52708.4999999999"
"nova russas","CE","245","52672.90000000007"
"paranapanema","SP","1175","52639.089999999924"
"pirai do sul","PR","609","52312.22999999993"
"poco fundo","MG","504","52303.43999999995"
"são mateus do sul","PR","540","52216.65000000016"
"nazare paulista","SP","512","52200.95999999999"
"peabiru","PR","370","52150.76000000004"
"salto do lontra","PR","476","52121.319999999985"
"conceicao do rio verde","MG","378","52031.07000000002"
"josé bonifácio","SP","455","52021.90000000013"
"aparecida de goiânia","GO","421","51976.72000000012"
"juara","MT","822","51853.13000000031"
"parelhas","RN","168","51823.380000000034"
"lagoa formosa","MG","640","51805.599999999955"
"santarém","PA","469","51795.570000000094"
"boa esperanca","ES","329","51586.26000000006"
"sao jose do norte","RS","752","51558.99999999999"
"ibirité","MG","450","51487.660000000076"
"tupi paulista","SP","896","51453.92000000025"
"jaru","RO","450","51362.10000000005"
"moreno","PE","469","51154.5"
"bady bassitt","SP","688","51144.2"
"gravata","PE","450","50854.18000000008"
"ortigueira","PR","408","50657.790000000256"
"treze tilias","SC","798","50482.61999999998"
"fronteira","MG","371","50331.980000000025"
"piranhas","GO","280","50315.30000000011"
"barcarena","PA","283","50271.24000000002"
"guanhães","MG","494","50217.70000000011"
"boa esperanca do sul","SP","660","50213.99999999996"
"apiuna","SC","266","50182.79999999998"
"ponta porã","MS","384","50033.88000000007"
"monte belo","MG","360","49940.09999999999"
"sumidouro","RJ","470","49851.96000000002"
"queimadas","PB","175","49801.500000000015"
"coroata","MA","570","49788.36000000022"
"tres cachoeiras","RS","770","49762.79000000004"
"sao goncalo do rio abaixo","MG","558","49736.39999999991"
"jaguaruana","CE","172","49671.45000000001"
"água boa","MT","378","49659.66000000004"
"bataguassu","MS","486","49653.0000000003"
"arroio do sal","RS","486","49624.37999999997"
"tapes","RS","372","49435.700000000004"
"itapejara d'oeste","PR","329","49345.29999999999"
"sao joao dos patos","MA","259","49323.96000000003"
"vila valerio","ES","360","49298.39999999998"
"neropolis","GO","380","49294.36000000005"
"são joão nepomuceno","MG","437","49286.00000000006"
"coaraci","BA","164","49277.080000000045"
"catalão","GO","337","49185.78000000008"
"goitacazes","RJ","484","49118.96000000005"
"itariri","SP","273","49113.48000000002"
"carlopolis","PR","390","49101.000000000204"
"parnamirim","PE","104","48989.720000000045"
"piratuba","SC","306","48907.97999999999"
"mallet","PR","434","48772.300000000076"
"buriticupu","MA","456","48698.52000000012"
"surubim","PE","445","48671.43000000006"
"são joão da barra","RJ","368","48657.420000000035"
"camboriú","SC","545","48649.38999999999"
"bela cruz","CE","216","48594.60000000002"
"bom jardim de minas","MG","616","48544.720000000285"
"virginopolis","MG","660","48490.20000000016"
"mirai","MG","605","48444.55"
"paraisópolis","MG","368","48338.18000000005"
"santa fe","PR","275","48279.000000000095"
"piraquara","PR","569","48249.23000000014"
"estiva gerbi","SP","350","48213.00000000001"
"monte sião","MG","418","48075.32000000002"
"candeias","MG","540","47967.66000000002"
"sao bento do sapucai","SP","608","47921.03999999999"
"capão bonito","SP","438","47820.080000000155"
"goianira","GO","504","47813.36000000009"
"santa rita","PB","208","47736.57000000015"
"jaragua","GO","546","47632.26000000014"
"mambore","PR","488","47594.64000000003"
"limoeiro","PE","651","47577.87000000029"
"marmeleiro","PR","612","47493.91999999995"
"camaçari","BA","449","47489.90000000007"
"palmitos","SC","355","47420.899999999994"
"crixas","GO","477","47365.040000000095"
"toritama","PE","220","47202.760000000075"
"pirapetinga","MG","776","47179.8300000001"
"santo anastácio","SP","550","47115.0000000001"
"pauliceia","SP","264","47091.880000000034"
"capim grosso","BA","425","46570.65000000007"
"mamanguape","PB","480","46548.00000000005"
"assai","PR","324","46524.78000000009"
"vera cruz","RS","400","46398.400000000016"
"bambuí","MG","399","46340.07000000005"
"ji-paraná","RO","370","46339.48000000003"
"tocantins","MG","408","46333.83999999994"
"santo cristo","RS","532","46318.19999999998"
"nova prata do iguacu","PR","308","46190.31999999994"
"corrente","PI","186","46186.90000000003"
"icem","SP","572","46070.44000000006"
"caxias","MA","384","46068.340000000084"
"acreuna","GO","387","46028.48999999999"
"pouso redondo","SC","231","45991.329999999965"
"bituruna","PR","530","45938.2800000001"
"bonfinopolis de minas","MG","66","45777.6"
"pompéia","SP","576","45769.919999999955"
"miguelópolis","SP","322","45638.21000000007"
"catanduvas","SC","396","45592.139999999956"
"terra de areia","RS","200","45491.59999999998"
"colinas do tocantins","TO","267","45434.5"
"matupa","MT","468","45300.84000000008"
"ibira","SP","392","45288.88000000008"
"cascavel","CE","311","45231.58999999996"
"iperó","SP","323","45207.76000000001"
"alfredo chaves","ES","350","45135.500000000015"
"morretes","PR","236","45015.820000000036"
"tarumirim","MG","232","44978.42"
"ipueiras","CE","174","44871.41000000002"
"santa rita do araguaia","GO","392","44813.999999999956"
"morada nova de minas","MG","272","44804.519999999975"
"barra da estiva","BA","468","44749.640000000094"
"joao camara","RN","64","44153.60000000002"
"candelaria","RS","385","44151.03000000004"
"sabará","MG","400","44071.16000000015"
"euclides da cunha","BA","420","44031.120000000024"
"canelinha","SC","188","43895.18000000001"
"valenca do piaui","PI","168","43806"
"tucano","BA","465","43794.020000000004"
"lajinha","MG","255","43780.94999999998"
"ouro preto do oeste","RO","400","43749.00000000003"
"embu guacu","SP","399","43712.760000000104"
"nova petropolis","RS","855","43689.55"
"itapajé","CE","91","43662.710000000036"
"niquelândia","GO","400","43639.75"
"piripiri","PI","567","43519.68000000008"
"várzea da palma","MG","220","43435.399999999994"
"são francisco de itabapoana","RJ","464","43435.04000000012"
"campinas do sul","RS","186","43365.59000000004"
"conceicao da aparecida","MG","500","43303.99999999997"
"pecanha","MG","245","43252.300000000025"
"cristina","MG","360","43172.799999999974"
"caçador","SC","437","42741.42000000001"
"presidente bernardes","SP","516","42729.10000000012"
"sao cristovao","SE","552","42689.610000000044"
"cidreira","RS","325","42647.79999999997"
"ruy barbosa","BA","512","42429.44000000021"
"astorga","PR","721","42412.310000000216"
"cabrobo","PE","276","42402.34000000008"
"porto união","SC","196","42331.10000000003"
"araçoiaba da serra","SP","336","42323.95999999997"
"santo antônio da platina","PR","518","42202.57"
"brasopolis","MG","308","42069.279999999984"
"oeiras","PI","456","42061.44"
"reginopolis","SP","81","41930.73"
"araputanga","MT","486","41913.44999999994"
"cosmorama","SP","344","41881.140000000174"
"grajau","MA","321","41877.56000000004"
"carapebus","RJ","300","41818.19999999999"
"nova esperanca do piria","PA","19","41781"
"candiota","RS","208","41740.39999999999"
"beberibe","CE","72","41680.799999999996"
"sao jeronimo","RS","657","41591.74999999994"
"boa esperança","MG","324","41575.13999999996"
"antonio prado","RS","525","41565.00000000003"
"rio paranaiba","MG","683","41506.35000000015"
"uruara","PA","301","41383.200000000135"
"cacoal","RO","304","41283.09000000001"
"belo oriente","MG","664","41245.519999999975"
"sao francisco de paula","RS","395","41142.41000000006"
"corbelia","PR","168","41092.800000000025"
"nhandeara","SP","520","40966.89999999994"
"guaranta do norte","MT","520","40962.48000000006"
"nova trento","SC","282","40918.19999999996"
"araçuaí","MG","270","40889.40000000002"
"goioerê","PR","252","40640.87999999999"
"imbuia","SC","135","40550.76000000004"
"paranaíba","MS","400","40405.75000000005"
"pedra azul","MG","485","40363.64000000001"
"seropédica","RJ","373","40306.220000000016"
"sao sepe","RS","592","40281.90000000006"
"medeiros neto","BA","427","40274.64000000019"
"inhapim","MG","644","40144.199999999895"
"campos sales","CE","130","40141.400000000016"
"mambai","GO","98","40032.510000000024"
"nova europa","SP","504","39969.71999999994"
"sao sebastiao da grama","SP","156","39966.80999999998"
"paranavaí","PR","339","39959.69000000011"
"urania","SP","270","39857.40000000013"
"paco do lumiar","MA","364","39851.76000000004"
"quirinópolis","GO","432","39850.649999999994"
"buerarema","BA","112","39782.399999999994"
"pacajá","PA","90","39765.90000000001"
"nova aurora","PR","207","39736.410000000025"
"sao miguel do guama","PA","160","39705.28"
"janaúba","MG","380","39684.24"
"alvinopolis","MG","637","39545.939999999915"
"balneario pinhal","RS","352","39537.07999999999"
"dianopolis","TO","432","39501.600000000064"
"dois córregos","SP","384","39478.08"
"nuporanga","SP","144","39446.39999999999"
"abelardo luz","SC","348","39422.59999999996"
"santa ines","MA","460","39360.39000000017"
"canaã dos carajás","PA","225","39148.249999999985"
"ibiporã","PR","450","39101.400000000125"
"barra de são joão","RJ","304","39053.59999999999"
"palmeira das missões","RS","425","38987.749999999985"
"são bento do sul","SC","367","38980.81999999999"
"terra boa","PR","228","38976.03000000003"
"rio pardo de minas","MG","390","38849.85000000004"
"caninde","CE","360","38722.80000000008"
"tucuruí","PA","145","38676.72"
"itaí","SP","264","38666.75999999997"
"são joão batista","SC","230","38530.05999999998"
"rio acima","MG","675","38524.500000000226"
"iporá","GO","304","38493.810000000085"
"congonhal","MG","261","38385.179999999986"
"bilac","SP","540","38368.08000000006"
"taua","CE","410","38258.33000000008"
"espigao do oeste","RO","324","38160.72000000003"
"itacare","BA","361","38151.55000000011"
"iaciara","GO","180","38114.55000000002"
"alcobaca","BA","132","38078.76000000007"
"três lagoas","MS","257","38053.39000000002"
"maracas","BA","324","37996.56000000013"
"telêmaco borba","PR","264","37968.859999999986"
"avanhandava","SP","350","37884.00000000001"
"areiopolis","SP","126","37652.58"
"guaicara","SP","441","37594.270000000055"
"três de maio","RS","266","37411.95000000001"
"cesário lange","SP","247","37363.49999999999"
"alvorada","TO","150","37361.75"
"irapuru","SP","252","37358.15999999998"
"conceicao dos ouros","MG","236","37334.01999999995"
"sananduva","RS","492","37209.13999999997"
"sao ludgero","SC","220","37032.60000000003"
"eugenopolis","MG","190","37007.05999999997"
"catas altas","MG","175","36849.749999999985"
"capitolio","MG","1045","36754.54999999986"
"cidade gaucha","PR","368","36725.940000000206"
"igarata","SP","240","36676.31999999996"
"ipirá","BA","88","36659.480000000025"
"jaguariaíva","PR","418","36642.75999999998"
"manoel ribas","PR","290","36635.70000000004"
"ipuã","SP","234","36566.819999999985"
"pedralva","MG","245","36454.52999999997"
"estância","SE","168","36325.100000000086"
"sao benedito","CE","276","36302.7400000001"
"codó","MA","165","36297.300000000054"
"sobradinho","BA","427","36154.09"
"colinas","MA","128","36123.840000000004"
"engenheiro paulo de frontin","RJ","561","36049.40000000001"
"general salgado","SP","438","36032.06999999995"
"chui","RS","220","36022.799999999974"
"rio largo","AL","384","36013.44000000006"
"patrocinio paulista","SP","68","36012.8"
"terra roxa","PR","192","35908.479999999996"
"sao jose do calcado","ES","259","35896.66000000011"
"nova hartz","RS","348","35895.040000000066"
"jaguarão","RS","350","35885.149999999994"
"várzea grande","MT","265","35843.630000000005"
"agrestina","PE","18","35802"
"cabedelo","PB","207","35686.14999999999"
"sao miguel","RN","210","35568.12000000006"
"corumbá","MS","202","35565.970000000016"
"sao jose do cedro","SC","438","35521.06999999993"
"sales oliveira","SP","396","35517.899999999936"
"são sebastião do caí","RS","306","35493.279999999984"
"madre de deus","BA","392","35465.920000000144"
"araguatins","TO","260","35462.95999999999"
"cocal","PI","256","35416.64000000001"
"fronteiras","PI","81","35337.600000000035"
"lago da pedra","MA","210","35295.54"
"marechal floriano","ES","378","35257.31999999998"
"laurentino","SC","225","35208.44999999998"
"cacequi","RS","260","35203.479999999996"
"uruaçu","GO","380","35000.399999999965"
"benedito novo","SC","333","34992.37999999998"
"varre-sai","RJ","152","34918.19999999999"
"cedral","SP","456","34833.840000000026"
"campina da lagoa","PR","201","34819.89999999997"
"carbonita","MG","184","34770.02000000001"
"itapemirim","ES","374","34729.379999999954"
"abaeté","MG","240","34656.199999999975"
"colíder","MT","160","34587.67999999999"
"querência","MT","165","34539.29999999999"
"quixada","CE","215","34524.810000000085"
"porto xavier","RS","427","34432.059999999954"
"aguas lindas de goias","GO","407","34363.97000000009"
"timon","MA","445","34343.57000000004"
"acopiara","CE","424","34326.5100000002"
"pedro de toledo","SP","451","34157.50999999993"
"timbauba","PE","420","34060.20000000002"
"bocaiúva","MG","273","33983.66999999998"
"tailândia","PA","64","33810.88000000002"
"barra longa","MG","26","33800"
"bom jesus dos perdões","SP","378","33783.32999999997"
"anicuns","GO","408","33758.430000000015"
"cansancao","BA","308","33746.240000000034"
"barra do piraí","RJ","350","33743.29000000001"
"acu","RN","220","33719.39999999998"
"lagoa grande","PE","132","33605.87999999999"
"guaraci","SP","140","33585.99999999997"
"santa cruz cabralia","BA","325","33532.19999999997"
"tarabai","SP","170","33399.90000000001"
"cameta","PA","340","33387.99999999999"
"conceição de macabu","RJ","280","33369.4000000001"
"piraí","RJ","285","33272.400000000016"
"eusébio","CE","315","33262.6500000001"
"piúma","ES","285","33242.70000000002"
"são josé de ribamar","MA","322","33230.860000000044"
"virgem da lapa","MG","135","33205.49999999999"
"araguaína","TO","136","33146.029999999984"
"santa fe de goias","GO","76","33016.110000000015"
"pianco","PB","15","33000"
"dias d avila","BA","351","32999.71999999997"
"palestina","SP","660","32970.29999999991"
"paulo de faria","SP","392","32960.47999999993"
"monte azul","MG","265","32854.69999999998"
"tenente portela","RS","204","32829.71999999996"
"jordania","MG","185","32791.25"
"parnaíba","PI","206","32610.87000000003"
"pinheiro machado","RS","300","32573.399999999983"
"trajano de moraes","RJ","336","32557.560000000132"
"sabino","SP","135","32535"
"pontal do paraná","PR","240","32527.8"
"santa maria da vitória","BA","285","32500.45000000002"
"junqueirópolis","SP","304","32467.84000000002"
"cunha pora","SC","250","32271"
"elias fausto","SP","486","32108.399999999932"
"uchoa","SP","165","32045.19999999998"
"pinheiro","MA","300","32009.99999999999"
"barra do choca","BA","120","31960"
"gouveia","MG","170","31856.640000000014"
"rio piracicaba","MG","248","31790.5"
"três passos","RS","300","31755.24999999996"
"chapada dos guimaraes","MT","168","31701.60000000002"
"paudalho","PE","72","31640.400000000005"
"figueira","PR","170","31578.519999999975"
"alto taquari","MT","126","31536.959999999985"
"lindoia","SP","520","31513.559999999936"
"gravatal","SC","150","31506.749999999978"
"cacu","GO","320","31445.75999999995"
"itabela","BA","296","31367.85999999998"
"ariranha","SP","295","31357.909999999974"
"santo antônio do monte","MG","256","31345.759999999973"
"severinia","SP","402","31230.709999999966"
"tapiramuta","BA","48","31175.760000000017"
"almirante tamandaré","PR","250","31030.409999999996"
"barra do ribeiro","RS","280","31011.679999999964"
"palma sola","SC","132","30980.399999999987"
"são gabriel da palha","ES","286","30949.599999999966"
"tianguá","CE","117","30902.170000000016"
"carambei","PR","316","30873.20000000004"
"conceição das alagoas","MG","60","30848"
"alta floresta d'oeste","RO","138","30814.939999999988"
"formoso","MG","74","30672.629999999994"
"simao dias","SE","259","30653.760000000035"
"mozarlandia","GO","266","30643.199999999943"
"santa quiteria","CE","180","30588.119999999963"
"paraíso do tocantins","TO","187","30583.68000000005"
"periquito","MG","40","30520"
"santana do jacare","MG","72","30344.219999999994"
"três marias","MG","468","30255.83999999996"
"goianesia do para","PA","105","30169.649999999998"
"são miguel arcanjo","SP","299","30155.069999999978"
"rio branco do sul","PR","432","30137.039999999906"
"muqui","ES","310","30099.760000000075"
"aguas belas","PE","312","30024.93000000005"
"torrinha","SP","426","30009.569999999978"
"santa helena de goiás","GO","200","29994.6"
"taiuva","SP","306","29972.359999999993"
"pocoes","BA","194","29972.03000000006"
"caicó","RN","110","29955.199999999983"
"engenheiro navarro","MG","15","29955"
"santa terezinha de itaipu","PR","273","29933.53999999999"
"minas novas","MG","345","29930.129999999925"
"tupancireta","RS","474","29922.830000000013"
"carmo da mata","MG","390","29880.499999999985"
"santo antonio do jacinto","MG","590","29823.90999999992"
"rio novo do sul","ES","392","29774.079999999965"
"arapora","MG","156","29753.879999999997"
"cardoso moreira","RJ","354","29501.180000000077"
"ubajara","CE","200","29472.50000000001"
"santa cruz","RN","224","29273.43999999999"
"vila muriqui","RJ","280","29270.399999999958"
"santa adélia","SP","289","29163.67999999996"
"arari","MA","82","29060.79999999998"
"paraguaçu","MG","360","29056.99999999996"
"guaraciaba do norte","CE","192","29047.200000000077"
"sao pedro dos ferros","MG","152","29024.019999999982"
"sao bento","PB","150","28994.49999999998"
"peixoto de azevedo","MT","324","28973.699999999946"
"fundao","ES","135","28962.359999999986"
"ze doca","MA","210","28921.200000000015"
"guadalupe","PI","110","28901.399999999983"
"itaju","SP","155","28761.79999999999"
"lagoa dourada","MG","294","28752.219999999987"
"aguas vermelhas","MG","300","28728.999999999935"
"mundo novo","MS","172","28723.57"
"caetanopolis","MG","344","28576.50999999995"
"uruana","GO","100","28557.249999999985"
"itororo","BA","184","28483.20000000002"
"paulistana","PI","132","28468.110000000073"
"nova esperança","PR","198","28436.040000000037"
"itarana","ES","216","28417.320000000014"
"jaboticatubas","MG","74","28390.100000000035"
"teutônia","RS","323","28378.399999999965"
"araruna","PR","264","28378.019999999982"
"ribeirao bonito","SP","273","28364.309999999965"
"jacare","SP","350","28351.39999999995"
"sobradinho","DF","240","28164.59000000007"
"jaguapita","PR","37","28084.84999999999"
"fervedouro","MG","290","28007.039999999964"
"bom jesus do norte","ES","160","27995.600000000042"
"cruzilia","MG","296","27964.599999999984"
"morro do chapeu","BA","450","27878.5000000002"
"senador canedo","GO","476","27799.489999999943"
"igarassu","PE","191","27758.17000000006"
"belo jardim","PE","230","27731.920000000075"
"santo antonio do descoberto","GO","205","27727.07000000003"
"santa rita de caldas","MG","259","27612.35999999998"
"nova santa rosa","PR","276","27522.719999999972"
"santa cecilia de umbuzeiro","PB","137","27513.97999999998"
"boa viagem","CE","183","27510.390000000018"
"cachoeira de minas","MG","385","27356.999999999945"
"camapua","MS","264","27336.760000000006"
"altonia","PR","165","27219.49999999999"
"loreto","MA","17","27199.83"
"campos de julio","MT","174","27109.19999999999"
"guaíra","PR","264","27075.83999999996"
"tiradentes","MG","424","27075.57999999995"
"venturosa","PE","44","27035.800000000007"
"conde","BA","66","27027"
"alfredo wagner","SC","68","27023.200000000008"
"itauba","MT","95","26998.619999999995"
"santana do paraíso","MG","190","26968.199999999983"
"varjota","CE","180","26962.91999999998"
"conceição do coité","BA","270","26943.030000000013"
"nazare","BA","192","26869.76"
"presidente olegario","MG","390","26839.149999999965"
"saltinho","SP","161","26790.16999999999"
"santa albertina","SP","351","26769.210000000003"
"gandu","BA","256","26732.800000000014"
"panorama","SP","330","26689.740000000023"
"são joaquim de bicas","MG","160","26612.480000000007"
"itaituba","PA","436","26582.92000000015"
"dionisio cerqueira","SC","372","26536"
"guaracai","SP","343","26533.010000000002"
"gameleira","PE","64","26527.68"
"tabatinga","SP","340","26498.919999999955"
"sidrolândia","MS","204","26481.91999999999"
"dumont","SP","148","26443.89999999998"
"jauru","MT","215","26392.96999999998"
"rio novo","MG","196","26302.71000000002"
"aquidauana","MS","532","26294.100000000035"
"sao jose do egito","PE","236","26237.29999999996"
"caarapó","MS","80","26209.799999999996"
"santana do acarau","CE","76","26160.910000000018"
"costa marques","RO","34","26093.299999999996"
"cambé","PR","233","26060.81999999997"
"matipo","MG","212","26033.069999999974"
"teotônio vilela","AL","132","26024.160000000036"
"mario campos","MG","168","25982.879999999986"
"alto paraíso de goiás","GO","513","25979.459999999915"
"petrolândia","PE","153","25848.32999999999"
"bela vista do paraiso","PR","150","25774.499999999996"
"carmo de minas","MG","120","25758.399999999987"
"são raimundo nonato","PI","132","25744.680000000037"
"sao jose da barra","MG","182","25665.639999999985"
"mairi","BA","84","25564"
"nova alvorada do sul","MS","402","25516.949999999935"
"santa cruz de minas","MG","220","25471.15999999998"
"porto alegre do norte","MT","62","25420"
"canguçu","RS","240","25359.679999999993"
"horizonte","CE","203","25357.94999999996"
"comendador levy gasparian","RJ","336","25354.979999999963"
"capitao leonidas marques","PR","372","25282.35999999995"
"santo antonio do aracangua","SP","23","25277"
"tangua","RJ","300","25244.00000000001"
"paulo frontin","PR","270","25240.499999999985"
"bela vista","MS","162","25184.52000000001"
"porteirinha","MG","445","25159.409999999923"
"pedro canario","ES","345","25101.509999999966"
"campos altos","MG","335","25036.559999999932"
"coari","AM","21","25003.65000000001"
"floresta","PE","385","25001.90000000003"
"embuguacu","SP","228","24978.719999999976"
"itajuipe","BA","204","24972.659999999967"
"valentim gentil","SP","201","24926.010000000017"
"sao lourenco da mata","PE","270","24915.50999999998"
"araújos","MG","50","24904.999999999996"
"coribe","BA","304","24888.85999999994"
"sao sebastiao do passe","BA","310","24793.180000000048"
"ampére","PR","126","24775.37999999999"
"campestre","MG","231","24770.899999999965"
"ibitita","BA","17","24650"
"ivinhema","MS","404","24612.69000000004"
"barreirinhas","MA","272","24576.560000000012"
"cambuquira","MG","432","24534.719999999936"
"sao carlos","SC","392","24518.619999999977"
"santana","AP","283","24493.959999999963"
"sao simao","GO","266","24410.48999999996"
"são luís de montes belos","GO","190","24403.02999999997"
"sao miguel dos campos","AL","130","24377.520000000015"
"bela vista de goias","GO","320","24346.399999999958"
"viana","MA","195","24295.82999999998"
"sao goncalo do para","MG","132","24251.699999999993"
"arroio grande","RS","288","24247.44000000002"
"sao pedro do ivai","PR","171","24210.179999999997"
"eldorado","SP","368","24138.959999999955"
"trancoso","BA","288","24134.399999999987"
"campo ere","SC","344","24105.799999999974"
"caçapava do sul","RS","196","24079.71999999999"
"remanso","BA","325","24029.85000000008"
"arceburgo","MG","208","24027.64"
"quixere","CE","63","24009.299999999996"
"nova ponte","MG","170","23961.32999999998"
"santa bárbara doeste","SP","233","23946.689999999973"
"goianapolis","GO","88","23913.559999999994"
"jaguaribe","CE","180","23903.27999999999"
"paraiso","SP","155","23894.179999999975"
"carpina","PE","169","23853.219999999994"
"hidrolandia","CE","175","23844.249999999978"
"conceição do mato dentro","MG","270","23722.380000000063"
"santa isabel do para","PA","319","23714.329999999987"
"florestopolis","PR","192","23649.59999999997"
"passo de torres","SC","280","23519.599999999962"
"itapage","CE","49","23510.690000000013"
"pontalina","GO","116","23490"
"rio casca","MG","444","23489.819999999956"
"miguel calmon","BA","228","23432.320000000003"
"japuiba","RJ","184","23404.339999999993"
"oriente","SP","92","23397.209999999992"
"andirá","PR","224","23394.879999999976"
"canto do buriti","PI","39","23380.5"
"rafard","SP","252","23368.799999999974"
"elói mendes","MG","143","23340.06999999999"
"cacule","BA","176","23310.319999999978"
"santa cruz de monte castelo","PR","132","23305.260000000024"
"nova bassano","RS","300","23234.39999999996"
"ilhota","SC","124","23223.33999999999"
"joaquim tavora","PR","292","23212.54"
"frei inocencio","MG","180","23194.43999999998"
"ribeirao claro","PR","329","23156.43000000004"
"sapucaia","RJ","216","23043.77999999998"
"cachoeira alta","GO","357","23039.75999999996"
"reriutaba","CE","63","22959.719999999994"
"morrinhos","CE","100","22944.99999999999"
"reserva","PR","296","22836.400000000067"
"cafelândia","PR","195","22816.429999999986"
"são josé do vale do rio preto","RJ","247","22651.98999999998"
"canapolis","MG","215","22609.39999999998"
"santo amaro de campos","RJ","84","22564.920000000016"
"iracemápolis","SP","360","22533.83999999997"
"candido godoi","RS","150","22500"
"três coroas","RS","174","22456.72999999999"
"ipora do oeste","SC","264","22433.39999999998"
"salto grande","SP","35","22400"
"lagoa da confusao","TO","160","22399.679999999993"
"ladario","MS","360","22355.39999999994"
"itapagipe","MG","420","22301.159999999985"
"quintana","SP","252","22239"
"caiaponia","GO","252","22225.13999999999"
"itobi","SP","329","22215.960000000006"
"pedro osorio","RS","96","22158.39999999998"
"itacarambi","MG","195","22086.349999999973"
"echapora","SP","84","22049.159999999996"
"são lourenço do oeste","SC","240","21872.879999999976"
"itau de minas","MG","300","21866.999999999978"
"santa maria da boa vista","PE","106","21840.239999999998"
"datas","MG","168","21840"
"santa maria de itabira","MG","235","21728.099999999973"
"carandaí","MG","247","21726.49999999998"
"ilha comprida","SP","306","21723.95999999997"
"cruz machado","PR","147","21646.729999999974"
"jequeri","MG","33","21615"
"sao sebastiao","AL","20","21599.800000000007"
"grao mogol","MG","72","21595.19999999999"
"florida paulista","SP","244","21581.189999999966"
"sapé","PB","22","21559.890000000003"
"águas formosas","MG","96","21467.199999999993"
"andorinha","BA","155","21424.1"
"cordeirópolis","SP","352","21408.79999999998"
"pindorama","SP","116","21396.19999999999"
"concordia do para","PA","69","21384.939999999984"
"anta gorda","RS","148","21374.89999999999"
"bom repouso","MG","212","21321.369999999966"
"xangri-lá","RS","189","21285.179999999982"
"ipu","CE","224","21273.27999999997"
"bernardino de campos","SP","332","21255.47"
"rio das flores","RJ","228","21229.84000000001"
"tambaú","SP","294","21188.019999999975"
"pedra preta","MT","195","21055.70999999999"
"jardim","MS","246","20992"
"morungaba","SP","252","20976.839999999982"
"sanharo","PE","48","20976"
