"seller_id","seller_city","seller_state","total_products_sold","total_sales","avg_review_score"
"d91fb3b7d041e83b64a00a3edfb37e4f","praia grande","SP","561","41925.67999999998","4.0980392156862745"
"2eb70248d66e0e3ef83659f71b244378","campinas","SP","209","41307.84000000001","2.7129186602870813"
"17a053fcb14bd219540cbde0df490be0","mogi guacu","SP","148","40483.240000000005","4.2094594594594595"
"391fc6631aebcf3004804e51b40bcf1e","ibitinga","SP","622","40379.690000000075","3.9533762057877814"
"834f3294fba9f932f56edc879193f925","araraquara","SP","66","39907.5","4.5454545454545455"
"634964b17796e64304cadf1ad3050fb7","rio de janeiro","RJ","325","39357.1","3.8584615384615385"
"712e6ed8aa4aa1fa65dab41fed5737e4","videira","SC","87","39318","3.4597701149425287"
"7142540dd4c91e2237acb7e911c4eba2","penapolis","SP","332","37438.45999999999","4.0421686746987952"
"7178f9f4dd81dcef02f62acdf8151e01","videira","SC","217","37060.29999999998","4.0322580645161290"
"c3867b4666c7d76867627c2f7fb22e21","guara","SP","259","36977.399999999994","3.8532818532818533"
"ea8482cd71df3c1969d7b9473ff13abc","sao paulo","SP","1197","36917.59","3.9532163742690058"
"59417c56835dd8e2e72f91f809cd4092","limeira","SP","18","36459","4.2777777777777778"
"c70c1b0d8ca86052f45a432a38b73958","hortolandia","SP","335","36206.409999999945","4.3014925373134328"
"06a2c3af7b3aee5d69171b0e14f0ee87","sao luis","MA","399","35963.00999999999","4.0025062656641604"
"7299e27ed73d2ad986de7f7c77d919fa","araguari","MG","361","34725.429999999986","4.4210526315789474"
"e9bc59e7b60fc3063eb2290deda4cced","maringa","PR","269","34343.05999999998","3.9442379182156134"
"9c0e69c7bf2619675bbadf47b43f655a","sao jose dos campos","SP","208","34121.759999999995","3.9951923076923077"
"dbc22125167c298ef99da25668e1011f","borda da mata","MG","429","33844.77999999995","4.2261072261072261"
"1835b56ce799e6a4dc4eddc053f04066","ibitinga","SP","554","33333.66999999995","3.5938628158844765"
"5c243662ce92d84573bfaff24c3e3700","sao paulo","SP","100","33219.119999999995","4.1300000000000000"
"76d5af76d0271110f9af36c92573f765","sao paulo","SP","158","32802.7","4.0822784810126582"
"88460e8ebdecbfecb5f9601833981930","maringa","PR","310","32334.399999999943","3.3516129032258065"
"7681ef142fd2c19048da7430856b5588","guarulhos","SP","76","31901.809999999998","4.1315789473684211"
"2528513dd95219a6013d4d05176e391a","osasco","SP","164","31792.099999999995","3.9451219512195122"
"70eea00b476a314817cefde4aad4f89a","itatiba","SP","113","31664.749999999993","4.3539823008849558"
"e59aa562b9f8076dd550fcddf0e73491","curitiba","PR","84","31574.3","4.2500000000000000"
"855668e0971d4dfd7bef1b6a4133b41b","itatiba","SP","324","31482.18999999999","3.7253086419753086"
"0241d4d5d36f10f80c644447315af0bd","curitiba","PR","248","31481.599999999955","4.2782258064516129"
"87142160b41353c4e5fca2360caf6f92","porto alegre","RS","341","31376.07999999997","4.3665689149560117"
"70a12e78e608ac31179aea7f8422044b","jacarei","SP","326","30718.530000000006","3.7699386503067485"
"53e4c6e0f4312d4d2107a8c9cddf45cd","pedreira","SP","523","30176.55999999997","4.0458891013384321"
"d23019c84ffae2d5ef2270367b8605fc","londrina","PR","39","29205.1","4.4102564102564103"
"0b90b6df587eb83608a64ea8b390cf07","maringa","PR","215","29190.799999999985","4.0000000000000000"
"1554a68530182680ad5c8b042c3ab563","monte siao","MG","270","28875.11999999995","4.2481481481481481"
"900ba814c251a692506d7834c1218441","salto","SP","85","27951.369999999995","4.1882352941176471"
"d1c281d3ae149232351cd8c8cc885f0d","ibitinga","SP","247","27377.529999999955","3.8137651821862348"
